year,month,day,time,temp,press,humid,solar,rain1h
2018,02,01,00:00,15.7,971,81,0,0
2018,02,01,01:00,16.2,971,79,0,0
2018,02,01,02:00,14.2,970,95,0,0
2018,02,01,03:00,13.2,971,99,0,0
2018,02,01,04:00,13.2,970,-999,0,0
2018,02,01,05:00,12.3,970,-999,0,0
2018,02,01,06:00,11.8,971,-999,0,0
2018,02,01,07:00,11.8,971,-999,0,0
2018,02,01,08:00,14.7,973,96,13,0
2018,02,01,09:00,18.1,974,79,37,0
2018,02,01,10:00,23,975,60,58,0
2018,02,01,11:00,27.4,975,42,63,0
2018,02,01,12:00,30.4,973,36,66,0
2018,02,01,13:00,32.8,973,37,62,0
2018,02,01,14:00,33.3,971,35,56,0
2018,02,01,15:00,33.3,970,27,48,0
2018,02,01,16:00,32.3,969,28,37,0
2018,02,01,17:00,33.3,969,29,19,0
2018,02,01,18:00,27.9,969,35,0,0
2018,02,01,19:00,24,969,38,0,0
2018,02,01,20:00,23.5,970,44,0,0
2018,02,01,21:00,20.1,971,64,0,0
2018,02,01,22:00,18.6,971,72,0,0
2018,02,01,23:00,18.1,971,69,0,0
2018,02,02,00:00,18.1,971,72,0,0
2018,02,02,01:00,17.2,971,73,0,0
2018,02,02,02:00,15.7,970,91,0,0
2018,02,02,03:00,15.2,970,88,0,0
2018,02,02,04:00,14.2,971,98,0,0
2018,02,02,05:00,13.7,971,-999,0,0
2018,02,02,06:00,13.2,971,-999,0,0
2018,02,02,07:00,13.2,973,-999,0,0
2018,02,02,08:00,15.7,974,92,8,0
2018,02,02,09:00,18.6,975,80,45,0
2018,02,02,10:00,25.5,976,55,57,0
2018,02,02,11:00,28.4,976,47,61,0
2018,02,02,12:00,31.4,975,44,66,0
2018,02,02,13:00,33.8,975,36,62,0
2018,02,02,14:00,32.8,974,33,33,0
2018,02,02,15:00,33.3,973,33,44,0
2018,02,02,16:00,33.8,973,31,34,0
2018,02,02,17:00,30.9,971,40,11,0
2018,02,02,18:00,26.5,971,51,0,0
2018,02,02,19:00,24.5,973,58,0,0
2018,02,02,20:00,23,973,63,0,0
2018,02,02,21:00,22.1,973,67,0,0
2018,02,02,22:00,22.1,974,69,0,0
2018,02,02,23:00,20.6,974,80,0,0
2018,02,03,00:00,20.6,975,78,0,0
2018,02,03,01:00,20.1,974,82,0,0
2018,02,03,02:00,19.1,975,90,0,0
2018,02,03,03:00,18.1,974,95,0,0
2018,02,03,04:00,17.2,974,98,0,0
2018,02,03,05:00,17.6,974,96,0,0
