year,month,day,time,temp,press,humid,solar,rain1h
2018,03,01,00:00,20.1,975,65,0,0
2018,03,01,01:00,19.6,975,70,0,0
2018,03,01,02:00,19.6,974,70,0,0
2018,03,01,03:00,18.6,974,75,0,0
2018,03,01,04:00,18.1,974,78,0,0
2018,03,01,05:00,17.6,974,83,0,0
2018,03,01,06:00,17.2,974,84,0,0
2018,03,01,07:00,17.2,975,86,0,0
2018,03,01,08:00,20.1,975,74,4,0
2018,03,01,09:00,24.5,976,62,41,0
2018,03,01,10:00,30.4,976,45,48,0
2018,03,01,11:00,33.3,976,39,56,0
2018,03,01,12:00,33.8,975,34,60,0
2018,03,01,13:00,34.8,974,31,60,0
2018,03,01,14:00,36.3,971,29,62,0
2018,03,01,15:00,36.8,971,25,27,0
2018,03,01,16:00,36.8,970,23,31,0
2018,03,01,17:00,35.8,970,24,5,0
2018,03,01,18:00,29.9,970,43,0,0
2018,03,01,19:00,27,971,47,0,0
2018,03,01,20:00,25,973,54,0,0
2018,03,01,21:00,23,973,59,0,0
2018,03,01,22:00,22.5,974,56,0,0
2018,03,01,23:00,21.6,974,63,0,0
2018,03,02,00:00,20.6,974,62,0,0
2018,03,02,01:00,19.6,974,66,0,0
2018,03,02,02:00,19.1,974,70,0,0
2018,03,02,03:00,18.6,973,72,0,0
2018,03,02,04:00,18.1,973,74,0,0
2018,03,02,05:00,17.6,974,81,0,0
2018,03,02,06:00,17.6,974,84,0,0
2018,03,02,07:00,18.6,975,78,0,0
2018,03,02,08:00,21.1,975,72,6,0
2018,03,02,09:00,27,976,54,37,0
2018,03,02,10:00,31.9,976,40,49,0
2018,03,02,11:00,35.3,975,33,65,0
2018,03,02,12:00,36.3,975,31,50,0
2018,03,02,13:00,36.3,973,30,49,0
2018,03,02,14:00,38.7,971,24,58,0
2018,03,02,15:00,38.7,970,24,51,0
2018,03,02,16:00,36.3,970,27,7,0
2018,03,02,17:00,33.8,970,33,5,0
2018,03,02,18:00,29.9,970,45,0,0
2018,03,02,19:00,27.4,970,49,0,0
2018,03,02,20:00,25.5,971,54,0,0
2018,03,02,21:00,24.5,971,52,0,0
2018,03,02,22:00,22.5,973,60,0,0
2018,03,02,23:00,21.1,973,68,0,0
2018,03,03,00:00,20.6,973,70,0,0
2018,03,03,01:00,19.6,973,73,0,0
2018,03,03,02:00,18.1,971,78,0,0
2018,03,03,03:00,17.2,971,86,0,0
2018,03,03,04:00,16.2,971,88,0,0
2018,03,03,05:00,16.2,971,88,0,0
2018,03,03,06:00,16.2,973,88,0,0
2018,03,03,07:00,15.7,974,91,0,0
2018,03,03,08:00,19.6,974,77,19,0
2018,03,03,09:00,28.9,975,48,46,0
2018,03,03,10:00,33.8,975,34,51,0
2018,03,03,11:00,35.8,974,31,56,0
2018,03,03,12:00,37.2,974,26,59,0
