year,month,day,time,temp,press,humid,solar,rain1h
2018,04,01,00:00,27.4,975,63,0,0
2018,04,01,01:00,25.5,974,73,0,0
2018,04,01,02:00,25,973,75,0,0
2018,04,01,03:00,25,971,74,0,0
2018,04,01,04:00,24.5,970,82,0,0
2018,04,01,05:00,23.5,971,86,0,0
2018,04,01,06:00,23,971,87,0,0
2018,04,01,07:00,23,971,85,0,0
2018,04,01,08:00,25.5,973,76,12,0
2018,04,01,09:00,31.4,974,55,45,0
2018,04,01,10:00,32.3,974,53,52,0
2018,04,01,11:00,33.8,974,48,67,0
2018,04,01,12:00,36.3,973,42,72,0
2018,04,01,13:00,36.8,971,37,50,0
2018,04,01,14:00,35.8,969,36,41,0
2018,04,01,15:00,35.3,969,34,28,0
2018,04,01,16:00,35.3,968,35,13,0
2018,04,01,17:00,34.8,968,37,1,0
2018,04,01,18:00,31.9,969,46,0,0
2018,04,01,19:00,30.4,969,50,0,0
2018,04,01,20:00,29.4,970,55,0,0
2018,04,01,21:00,29.4,971,55,0,0
2018,04,01,22:00,28.9,971,59,0,0
2018,04,01,23:00,27.9,973,65,0,0
2018,04,02,00:00,27,973,69,0,0
2018,04,02,01:00,26.5,971,71,0,0
2018,04,02,02:00,27.4,971,60,0,0
2018,04,02,03:00,26.5,970,61,0,0
2018,04,02,04:00,26,970,66,0,0
2018,04,02,05:00,26,970,69,0,0
2018,04,02,06:00,24.5,971,76,0,0
2018,04,02,07:00,24,971,79,0,0
2018,04,02,08:00,27,973,68,5,0
2018,04,02,09:00,31.9,974,52,48,0
2018,04,02,10:00,33.8,974,48,48,0
2018,04,02,11:00,36.3,973,41,53,0
2018,04,02,12:00,38.2,973,39,58,0
2018,04,02,13:00,40.2,970,33,51,0
2018,04,02,14:00,38.2,968,36,56,0
2018,04,02,15:00,37.7,968,37,25,0
2018,04,02,16:00,36.8,967,39,27,0
2018,04,02,17:00,35.3,967,43,0,0
2018,04,02,18:00,32.8,968,52,0,0
2018,04,02,19:00,28.9,970,55,0,0
2018,04,02,20:00,27.4,970,67,0,0
2018,04,02,21:00,24.5,975,75,0,0.4
2018,04,02,22:00,24.5,974,77,0,0
2018,04,02,23:00,24,975,82,0,0
2018,04,03,00:00,24.5,974,79,0,0
2018,04,03,01:00,23.5,974,87,0,0
2018,04,03,02:00,23,973,86,0,0
2018,04,03,03:00,23,973,87,0,0
2018,04,03,04:00,22.5,971,90,0,0
2018,04,03,05:00,22.1,971,89,0,0
2018,04,03,06:00,21.1,973,92,0,0
2018,04,03,07:00,21.6,973,90,0,0
2018,04,03,08:00,25,974,77,3,0
2018,04,03,09:00,31.4,974,55,42,0
2018,04,03,10:00,32.8,974,53,61,0
2018,04,03,11:00,36.8,974,38,64,0
2018,04,03,12:00,37.2,973,34,72,0
2018,04,03,13:00,37.7,971,30,27,0
2018,04,03,14:00,35.3,969,35,17,0
2018,04,03,15:00,36.8,968,31,21,0
2018,04,03,16:00,35.8,968,28,1,0
2018,04,03,17:00,35.8,967,26,1,0
2018,04,03,18:00,33.3,967,35,0,0
2018,04,03,19:00,30.9,968,42,0,0
2018,04,03,20:00,29.9,969,46,0,0
2018,04,03,21:00,30.9,970,43,0,0
