year,month,day,time,temp,press,humid,solar,rain1h
2018,07,01,00:00,27,967,82,0,0
2018,07,01,01:00,26.5,966,85,0,0
2018,07,01,02:00,26,966,84,0,0
2018,07,01,03:00,25.5,967,88,0,0
2018,07,01,04:00,25,966,90,0,0
2018,07,01,05:00,24.5,966,93,0,0
2018,07,01,06:00,24.5,966,95,0,0
2018,07,01,07:00,28.4,967,77,17,0
2018,07,01,08:00,31.9,967,62,30,0
2018,07,01,09:00,33.3,968,59,43,0
2018,07,01,10:00,34.3,968,53,49,0
2018,07,01,11:00,33.3,968,57,43,0
2018,07,01,12:00,34.3,967,54,74,0
2018,07,01,13:00,35.8,966,52,151,0
2018,07,01,14:00,36.3,966,47,39,0
2018,07,01,15:00,34.8,965,49,17,0
2018,07,01,16:00,26,965,92,3,0.2
2018,07,01,17:00,27,965,84,3,0
2018,07,01,18:00,27.9,965,76,1,0
2018,07,01,19:00,27,965,84,0,0
2018,07,01,20:00,26,966,94,0,0
2018,07,01,21:00,26,967,95,0,0
2018,07,01,22:00,25.5,967,94,0,0
2018,07,01,23:00,25.5,967,94,0,0
2018,07,02,00:00,25,966,97,0,0
2018,07,02,01:00,25,967,99,0,0
2018,07,02,02:00,24.5,967,100,0,0
2018,07,02,03:00,24.5,966,98,0,0.2
2018,07,02,04:00,24,967,98,0,0
2018,07,02,05:00,24,967,99,0,0
2018,07,02,06:00,24,966,96,0,0
2018,07,02,07:00,27.9,967,80,23,0
2018,07,02,08:00,30.9,967,65,28,0
2018,07,02,09:00,32.8,968,61,54,0
2018,07,02,10:00,32.8,968,56,52,0
2018,07,02,11:00,33.8,967,56,59,0
2018,07,02,12:00,35.3,966,50,63,0
2018,07,02,13:00,34.8,966,54,85,0
2018,07,02,14:00,36.3,965,46,61,0
2018,07,02,15:00,35.8,965,47,36,0
2018,07,02,16:00,35.8,964,49,37,0
2018,07,02,17:00,35.8,964,46,4,0
2018,07,02,18:00,28.9,964,79,3,1.4
2018,07,02,19:00,27.4,964,87,0,1.6
2018,07,02,20:00,27,965,89,0,0
2018,07,02,21:00,27,966,91,0,0
2018,07,02,22:00,27.4,967,80,0,0
2018,07,02,23:00,27,967,77,0,0
2018,07,03,00:00,27,967,77,0,0
2018,07,03,01:00,26.5,966,79,0,0
2018,07,03,02:00,26.5,966,83,0,0
2018,07,03,03:00,26,966,86,0,0
2018,07,03,04:00,25.5,966,87,0,0
2018,07,03,05:00,25.5,966,89,0,0
2018,07,03,06:00,25,966,92,0,0
2018,07,03,07:00,26.5,966,87,5,0
2018,07,03,08:00,30.4,967,69,45,0
2018,07,03,09:00,31.9,967,61,52,0
2018,07,03,10:00,-999,-999,-999,-999,-999
2018,07,03,11:00,-999,-999,-999,-999,-999
2018,07,03,12:00,-999,-999,-999,-999,-999
2018,07,03,13:00,34.8,966,49,32,0
2018,07,03,14:00,35.8,965,51,58,0
2018,07,03,15:00,35.3,965,50,44,0
2018,07,03,16:00,35.3,964,49,42,0
2018,07,03,17:00,35.3,964,50,39,0
2018,07,03,18:00,32.3,964,55,1,0
2018,07,03,19:00,30.4,964,60,0,0
2018,07,03,20:00,28.9,965,65,0,0
2018,07,03,21:00,27.9,965,69,0,0
2018,07,03,22:00,27,966,74,0,0
2018,07,03,23:00,27.4,966,74,0,0
2018,07,04,00:00,27,966,75,0,0
2018,07,04,01:00,26.5,966,78,0,0
2018,07,04,02:00,26,966,83,0,0
2018,07,04,03:00,25.5,966,83,0,0
2018,07,04,04:00,25.5,965,85,0,0
2018,07,04,05:00,25,966,87,0,0
2018,07,04,06:00,25,965,88,0,0
2018,07,04,07:00,26,966,86,1,0
2018,07,04,08:00,28.4,966,75,12,0
2018,07,04,09:00,30.9,966,66,45,0
2018,07,04,10:00,31.4,966,63,51,0
2018,07,04,11:00,33.8,966,57,56,0
2018,07,04,12:00,36.3,965,48,82,0
2018,07,04,13:00,34.3,965,55,55,0
2018,07,04,14:00,34.8,964,53,67,0
2018,07,04,15:00,36.8,963,45,48,0
2018,07,04,16:00,36.8,963,45,31,0
2018,07,04,17:00,34.8,963,49,1,0
2018,07,04,18:00,31.9,963,55,0,0
2018,07,04,19:00,25.5,963,93,0,2.4
2018,07,04,20:00,26,965,94,0,0
2018,07,04,21:00,26,965,94,0,0
2018,07,04,22:00,26.5,965,87,0,0
2018,07,04,23:00,26,966,85,0,0
2018,07,05,00:00,25.5,965,86,0,0
2018,07,05,01:00,25.5,965,89,0,0
2018,07,05,02:00,25,964,90,0,0
2018,07,05,03:00,24.5,964,93,0,0
2018,07,05,04:00,24,964,96,0,0
2018,07,05,05:00,24,965,97,0,0
2018,07,05,06:00,24,965,94,0,0
2018,07,05,07:00,27.9,965,80,15,0
2018,07,05,08:00,30.9,965,67,25,0
2018,07,05,09:00,32.3,966,60,43,0
2018,07,05,10:00,34.8,966,55,49,0
2018,07,05,11:00,35.8,965,51,61,0
2018,07,05,12:00,36.8,965,49,77,0
2018,07,05,13:00,36.3,964,49,163,0
2018,07,05,14:00,36.8,963,45,61,0
2018,07,05,15:00,38.7,962,43,28,0
2018,07,05,16:00,37.7,962,47,30,0
2018,07,05,17:00,37.2,962,45,28,0
2018,07,05,18:00,33.8,962,55,0,0
2018,07,05,19:00,31.4,963,62,0,0
2018,07,05,20:00,29.9,963,66,0,0
2018,07,05,21:00,29.4,964,68,0,0
2018,07,05,22:00,28.9,964,71,0,0
2018,07,05,23:00,27.9,964,74,0,0
2018,07,06,00:00,27.4,964,78,0,0
2018,07,06,01:00,27.4,964,76,0,0
2018,07,06,02:00,27,964,78,0,0
2018,07,06,03:00,27,964,79,0,0
2018,07,06,04:00,26.5,964,80,0,0
2018,07,06,05:00,26,964,81,0,0
2018,07,06,06:00,25.5,964,84,0,0
2018,07,06,07:00,28.4,964,72,16,0
2018,07,06,08:00,30.9,964,63,24,0
2018,07,06,09:00,32.3,965,60,43,0
2018,07,06,10:00,34.3,965,54,51,0
2018,07,06,11:00,34.8,964,55,59,0
2018,07,06,12:00,35.8,964,53,136,0
2018,07,06,13:00,40.7,963,41,168,0
2018,07,06,14:00,35.8,962,46,50,0
2018,07,06,15:00,31.4,961,63,37,0
2018,07,06,16:00,37.2,962,46,40,0
2018,07,06,17:00,36.3,961,49,33,0
2018,07,06,18:00,33.8,962,51,1,0
2018,07,06,19:00,30.9,963,61,0,0
2018,07,06,20:00,29.4,963,67,0,0
2018,07,06,21:00,28.9,964,71,0,0
2018,07,06,22:00,28.4,965,72,0,0
2018,07,06,23:00,27.9,965,74,0,0
2018,07,07,00:00,27,965,77,0,0
2018,07,07,01:00,27,965,79,0,0
2018,07,07,02:00,26.5,965,86,0,0
2018,07,07,03:00,26,964,86,0,0
2018,07,07,04:00,25.5,964,87,0,0
2018,07,07,05:00,25.5,965,88,0,0
2018,07,07,06:00,25,964,93,0,0
2018,07,07,07:00,27,965,85,2,0
2018,07,07,08:00,29.9,965,70,28,0
2018,07,07,09:00,31.9,966,65,48,0
2018,07,07,10:00,33.8,966,58,48,0
2018,07,07,11:00,34.3,966,56,57,0
2018,07,07,12:00,34.3,965,53,50,0
2018,07,07,13:00,37.7,964,44,92,0
2018,07,07,14:00,36.3,964,49,55,0
2018,07,07,15:00,34.8,962,54,38,0
2018,07,07,16:00,33.8,962,56,16,0
2018,07,07,17:00,31.9,962,62,2,0
2018,07,07,18:00,30.9,963,68,0,0
2018,07,07,19:00,26,964,93,0,1.2
2018,07,07,20:00,26.5,964,94,0,0
2018,07,07,21:00,26,965,92,0,0
2018,07,07,22:00,26.5,966,91,0,0
2018,07,07,23:00,26.5,966,91,0,0
2018,07,08,00:00,26.5,965,89,0,0
2018,07,08,01:00,26.5,965,87,0,0
2018,07,08,02:00,26,964,89,0,0
2018,07,08,03:00,26,964,90,0,0
2018,07,08,04:00,26,964,90,0,0
2018,07,08,05:00,25.5,964,93,0,0
2018,07,08,06:00,25.5,964,93,0,0
2018,07,08,07:00,26,964,88,1,0
2018,07,08,08:00,27.4,965,82,12,0
2018,07,08,09:00,29.4,965,76,38,0
2018,07,08,10:00,30.9,965,67,37,0
2018,07,08,11:00,30.9,966,70,39,0
2018,07,08,12:00,31.9,965,66,46,0
2018,07,08,13:00,30.9,964,71,47,0
2018,07,08,14:00,29.4,964,81,39,0
2018,07,08,15:00,29.9,963,76,43,0.2
2018,07,08,16:00,30.4,963,72,31,0
2018,07,08,17:00,29.4,963,73,2,0
2018,07,08,18:00,28.4,963,78,0,0
2018,07,08,19:00,27,964,86,0,0
2018,07,08,20:00,25.5,965,91,0,0
2018,07,08,21:00,24.5,966,100,0,1.2
