year,month,day,time,temp,press,humid,solar,rain1h
2018,10,01,00:00,24.5,974,95,0,0
2018,10,01,01:00,24.5,973,95,0,0
2018,10,01,02:00,24,973,96,0,0
2018,10,01,03:00,24,973,95,0,0
2018,10,01,04:00,24,973,95,0,0
2018,10,01,05:00,23.5,973,97,0,0
2018,10,01,06:00,24,974,96,0,0
2018,10,01,07:00,24.5,974,95,6,0
2018,10,01,08:00,27,974,89,174,0
2018,10,01,09:00,30.4,975,71,69,0
2018,10,01,10:00,37.2,975,49,338,0
2018,10,01,11:00,38.2,974,47,364,0
2018,10,01,12:00,40.2,974,38,264,0
2018,10,01,13:00,43.1,971,36,289,0
2018,10,01,14:00,39.2,970,44,306,0
2018,10,01,15:00,40.7,969,44,252,0
2018,10,01,16:00,38.2,970,43,114,0
2018,10,01,17:00,32.3,970,59,3,0
2018,10,01,18:00,29.4,971,67,0,0
2018,10,01,19:00,27.4,973,78,0,0
2018,10,01,20:00,26.5,974,85,0,0
2018,10,01,21:00,26.5,975,86,0,0
2018,10,01,22:00,26,975,86,0,0
2018,10,01,23:00,25.5,975,85,0,0
2018,10,02,00:00,24.5,975,91,0,7.4
2018,10,02,01:00,23,975,97,0,13
2018,10,02,02:00,23,975,98,0,11.4
2018,10,02,03:00,23,974,98,0,5.8
2018,10,02,04:00,23,974,99,0,3.2
2018,10,02,05:00,23,974,98,0,1.8
2018,10,02,06:00,23,975,99,0,0.4
2018,10,02,07:00,24,975,98,1,0
2018,10,02,08:00,27,975,90,123,0
2018,10,02,09:00,27,976,84,20,0
2018,10,02,10:00,30.9,976,73,254,0
2018,10,02,11:00,35.8,975,60,380,0
2018,10,02,12:00,33.8,974,62,252,0
2018,10,02,13:00,34.3,974,61,311,0
2018,10,02,14:00,33.3,971,61,222,0
2018,10,02,15:00,35.8,971,55,300,0
2018,10,02,16:00,32.8,970,58,108,0
2018,10,02,17:00,27.9,971,73,4,0
2018,10,02,18:00,27.4,973,80,0,0
2018,10,02,19:00,26,974,87,0,0
2018,10,02,20:00,25.5,974,85,0,0
2018,10,02,21:00,25.5,975,89,0,0
2018,10,02,22:00,23,976,96,0,18.4
2018,10,02,23:00,22.5,976,99,0,18.2
2018,10,03,00:00,22.5,976,98,0,0
2018,10,03,01:00,22.5,975,98,0,0
2018,10,03,02:00,22.5,975,99,0,1.8
2018,10,03,03:00,22.5,975,99,0,0.6
2018,10,03,04:00,22.5,974,99,0,0.2
2018,10,03,05:00,22.5,975,99,0,0.4
2018,10,03,06:00,22.5,975,100,0,0.2
2018,10,03,07:00,23.5,975,99,5,0.2
2018,10,03,08:00,26,975,92,108,0
2018,10,03,09:00,27.9,975,84,186,0
2018,10,03,10:00,30.9,975,73,299,0
2018,10,03,11:00,31.4,975,69,253,0
2018,10,03,12:00,33.8,975,63,313,0
2018,10,03,13:00,36.8,974,50,323,0
2018,10,03,14:00,35.8,973,55,293,0
2018,10,03,15:00,35.8,971,57,300,0
2018,10,03,16:00,35.3,970,54,240,0
2018,10,03,17:00,31.4,971,59,29,0
2018,10,03,18:00,27.4,974,76,0,0
2018,10,03,19:00,24.5,974,92,0,0.2
2018,10,03,20:00,24,975,94,0,0.2
2018,10,03,21:00,24,976,95,0,0
2018,10,03,22:00,24,977,95,0,0
2018,10,03,23:00,23.5,976,95,0,0
2018,10,04,00:00,23.5,976,95,0,0
2018,10,04,01:00,23.5,976,96,0,0
2018,10,04,02:00,23.5,975,97,0,0
2018,10,04,03:00,23.5,975,97,0,0
2018,10,04,04:00,23.5,975,96,0,0
2018,10,04,05:00,23,975,95,0,0
2018,10,04,06:00,22.5,976,95,0,0
2018,10,04,07:00,23,976,96,1,0
2018,10,04,08:00,25,976,87,23,0
2018,10,04,09:00,29.4,976,73,218,0
2018,10,04,10:00,34.3,976,59,296,0
2018,10,04,11:00,36.3,976,53,327,0
2018,10,04,12:00,38.2,975,44,284,0
2018,10,04,13:00,38.7,974,43,314,0
2018,10,04,14:00,41.2,973,38,280,0
2018,10,04,15:00,41.7,971,35,243,0
2018,10,04,16:00,39.7,971,39,207,0
2018,10,04,17:00,31.9,973,56,3,0
2018,10,04,18:00,27.9,973,72,0,0
2018,10,04,19:00,27.4,974,74,0,0
2018,10,04,20:00,26,975,80,0,0
2018,10,04,21:00,25.5,975,83,0,0
2018,10,04,22:00,24.5,976,92,0,0
2018,10,04,23:00,24,976,93,0,0
2018,10,05,00:00,23.5,976,96,0,0
2018,10,05,01:00,23.5,975,97,0,0
2018,10,05,02:00,23,975,97,0,0
2018,10,05,03:00,22.5,975,98,0,0
2018,10,05,04:00,22.1,975,98,0,0
2018,10,05,05:00,22.1,975,99,0,0
2018,10,05,06:00,22.1,976,100,0,0
2018,10,05,07:00,23,976,98,2,0
2018,10,05,08:00,25.5,976,89,27,0
2018,10,05,09:00,29.9,976,73,247,0
2018,10,05,10:00,33.3,976,59,299,0
2018,10,05,11:00,37.7,976,45,318,0
2018,10,05,12:00,41.7,975,37,321,0
2018,10,05,13:00,41.7,974,35,282,0
2018,10,05,14:00,40.7,973,36,162,0
2018,10,05,15:00,42.1,971,33,241,0
2018,10,05,16:00,40.2,973,37,138,0
2018,10,05,17:00,32.8,971,52,3,0
2018,10,05,18:00,28.9,973,66,0,0
2018,10,05,19:00,27,973,78,0,0
2018,10,05,20:00,26,974,86,0,0
2018,10,05,21:00,25.5,975,91,0,0
2018,10,05,22:00,26,976,90,0,0
2018,10,05,23:00,25,975,92,0,0
2018,10,06,00:00,24.5,975,94,0,0
2018,10,06,01:00,24.5,975,96,0,0
2018,10,06,02:00,24.5,974,94,0,0
2018,10,06,03:00,24,974,97,0,0
2018,10,06,04:00,24,974,96,0,0
2018,10,06,05:00,23.5,974,96,0,0
2018,10,06,06:00,23,974,97,0,0
2018,10,06,07:00,23.5,975,97,4,0
2018,10,06,08:00,27.4,975,85,114,0
2018,10,06,09:00,29.9,975,74,233,0
2018,10,06,10:00,35.3,976,56,297,0
2018,10,06,11:00,39.2,976,46,344,0
2018,10,06,12:00,41.2,975,39,321,0
2018,10,06,13:00,40.2,973,42,308,0
2018,10,06,14:00,41.7,973,36,281,0
2018,10,06,15:00,40.7,971,37,236,0
2018,10,06,16:00,39.2,970,39,120,0
2018,10,06,17:00,32.3,971,55,3,0
2018,10,06,18:00,28.9,971,68,0,0
2018,10,06,19:00,27,973,77,0,0
2018,10,06,20:00,26,974,86,0,0
2018,10,06,21:00,25,975,92,0,0
2018,10,06,22:00,25,975,91,0,0
2018,10,06,23:00,25,976,93,0,0
2018,10,07,00:00,25,976,94,0,0
2018,10,07,01:00,24,975,95,0,0
